plot;rep ;trt;date;total;wilt;yellow;dry
1;1;10min;29/3/2024;3;0;0;0
2;3;15min;29/3/2024;5;0;0;0
3;2;8min;29/3/2024;5;0;0;0
4;2;10min;29/3/2024;4;0;0;0
5;1;5min;29/3/2024;4;1;0;0
6;2;15min;29/3/2024;4;1;0;0
7;1;8min;29/3/2024;4;0;0;0
8;1;15min;29/3/2024;4;2;0;0
9;3;8min;29/3/2024;4;1;0;0
10;3;10min;29/3/2024;4;1;0;0
11;2;5min;29/3/2024;5;0;0;0
12;3;5min;29/3/2024;4;0;0;0
1;1;10min;03/01/2024;5;1;1;0
2;3;15min;03/01/2024;5;2;1;0
3;2;8min;03/01/2024;6;3;0;0
4;2;10min;03/01/2024;4;0;2;0
5;1;5min;03/01/2024;5;2;2;0
6;2;15min;03/01/2024;5;2;2;0
7;1;8min;03/01/2024;4;3;1;0
8;1;15min;03/01/2024;4;2;2;0
9;3;8min;03/01/2024;4;1;2;0
10;3;10min;03/01/2024;4;1;1;0
11;2;5min;03/01/2024;5;4;1;0
12;3;5min;03/01/2024;4;1;1;0
1;1;10min;03/04/2024;5;0;2;1
2;3;15min;03/04/2024;6;1;2;2
3;2;8min;03/04/2024;6;0;3;2
4;2;10min;03/04/2024;6;0;2;2
5;1;5min;03/04/2024;5;0;1;3
6;2;15min;03/04/2024;5;0;0;5
7;1;8min;03/04/2024;5;0;2;2
8;1;15min;03/04/2024;5;0;1;4
9;3;8min;03/04/2024;5;0;2;2
10;3;10min;03/04/2024;4;0;1;3
11;2;5min;03/04/2024;5;0;0;5
12;3;5min;03/04/2024;6;1;1;2
1;1;10min;09/04/2024;5;0;2;3
2;3;15min;09/04/2024;7;2;1;4
3;2;8min;09/04/2024;8;2;2;4
4;2;10min;09/04/2024;5;1;1;3
5;1;5min;09/04/2024;6;2;1;3
6;2;15min;09/04/2024;5;0;0;5
7;1;8min;09/04/2024;5;0;1;4
8;1;15min;09/04/2024;5;0;0;5
9;3;8min;09/04/2024;5;1;1;3
10;3;10min;09/04/2024;5;1;0;4
11;2;5min;09/04/2024;6;1;1;3
12;3;5min;09/04/2024;4;0;0;4
1;1;10min;12/04/2024;5;2;2;1
2;3;15min;12/04/2024;8;2;1;4
3;2;8min;12/04/2024;5;2;2;1
4;2;10min;12/04/2024;5;1;1;2
5;1;5min;12/04/2024;5;0;1;3
6;2;15min;12/04/2024;5;0;0;5
7;1;8min;12/04/2024;6;0;0;6
8;1;15min;12/04/2024;5;2;0;3
9;3;8min;12/04/2024;5;0;2;3
10;3;10min;12/04/2024;6;1;0;5
11;2;5min;12/04/2024;5;2;0;3
12;3;5min;12/04/2024;4;0;0;4
1;1;10min;15/04/2024;4;2;2;0
2;3;15min;15/04/2024;9;0;2;5
3;2;8min;15/04/2024;5;1;1;1
4;2;10min;15/04/2024;4;1;2;1
5;1;5min;15/04/2024;6;1;1;1
6;2;15min;15/04/2024;3;0;0;3
7;1;8min;15/04/2024;6;0;0;6
8;1;15min;15/04/2024;6;1;1;4
9;3;8min;15/04/2024;4;1;1;0
10;3;10min;15/04/2024;4;1;1;2
11;2;5min;15/04/2024;6;3;1;2
12;3;5min;15/04/2024;4;0;0;4
