plot;rep ;trt;date;total;wilt;yellow;dry
1;3;DIP;29/3/2024;4;0;0;0
2;5;DIP;29/3/2024;4;0;0;0
3;3;DRE;29/3/2024;5;0;0;0
4;1;DIP;29/3/2024;4;0;0;0
5;4;DRE;29/3/2024;4;0;0;0
6;2;DRE;29/3/2024;5;0;0;0
7;1;DRE;29/3/2024;4;0;0;0
8;4;DIP;29/3/2024;4;0;0;0
9;5;DRE;29/3/2024;4;4;0;0
10;2;DIP;29/3/2024;5;0;0;0
1;3;DIP;01/04/2024;4;1;0;0
2;5;DIP;01/04/2024;5;1;2;0
3;3;DRE;01/04/2024;7;0;0;0
4;1;DIP;01/04/2024;5;1;1;0
5;4;DRE;01/04/2024;6;0;0;0
6;2;DRE;01/04/2024;5;0;1;0
7;1;DRE;01/04/2024;6;0;0;0
8;4;DIP;01/04/2024;4;0;1;0
9;5;DRE;01/04/2024;5;0;0;0
10;2;DIP;01/04/2024;5;3;1;0
1;3;DIP;04/04/2024;5;0;1;2
2;5;DIP;04/04/2024;5;0;1;3
3;3;DRE;04/04/2024;7;3;0;0
4;1;DIP;04/04/2024;5;0;2;2
5;4;DRE;04/04/2024;6;2;1;1
6;2;DRE;04/04/2024;6;1;3;1
7;1;DRE;04/04/2024;6;1;0;0
8;4;DIP;04/04/2024;6;0;2;2
9;5;DRE;04/04/2024;7;1;0;0
10;2;DIP;04/04/2024;6;0;3;2
1;3;DIP;09/04/2024;5;1;1;2
2;5;DIP;09/04/2024;5;0;1;3
3;3;DRE;09/04/2024;9;0;4;3
4;1;DIP;09/04/2024;7;0;1;4
5;4;DRE;09/04/2024;8;2;2;4
6;2;DRE;09/04/2024;7;0;1;4
7;1;DRE;09/04/2024;6;0;5;0
8;4;DIP;09/04/2024;5;1;1;3
9;5;DRE;09/04/2024;8;0;3;4
10;2;DIP;09/04/2024;6;0;1;5
1;3;DIP;12/04/2024;4;1;2;1
2;5;DIP;12/04/2024;6;0;1;3
3;3;DRE;12/04/2024;10;1;4;4
4;1;DIP;12/04/2024;7;1;1;3
5;4;DRE;12/04/2024;8;2;1;5
6;2;DRE;12/04/2024;6;2;1;3
7;1;DRE;12/04/2024;7;1;3;2
8;4;DIP;12/04/2024;7;3;1;3
9;5;DRE;12/04/2024;10;2;3;5
10;2;DIP;12/04/2024;8;2;1;5
1;3;DIP;15/04/2024;5;1;0;1
2;5;DIP;15/04/2024;7;0;2;3
3;3;DRE;15/04/2024;10;2;1;6
4;1;DIP;15/04/2024;5;0;1;1
5;4;DRE;15/04/2024;7;2;1;3
6;2;DRE;15/04/2024;5;1;1;1
7;1;DRE;15/04/2024;6;1;2;2
8;4;DIP;15/04/2024;7;2;2;3
9;5;DRE;15/04/2024;7;2;1;4
10;2;DIP;15/04/2024;8;0;1;5
