plot;rep ;trt;date;total;wilt;yellow;dry
1;1;10.7;29/03/2024;4;0;0;0
2;1;10.6;29/03/2024;4;1;0;0
3;2;10.5;29/03/2024;4;0;0;0
4;3;10.6;29/03/2024;4;2;0;0
5;3;10.6;29/03/2024;4;0;0;0
6;1;10.5;29/03/2024;5;2;0;0
7;3;10.5;29/03/2024;4;0;0;0
8;2;10.7;29/03/2024;4;0;2;0
9;3;10.7;29/03/2024;5;0;0;0
1;1;10.7;01/04/2024;4;1;0;0
2;1;10.6;01/04/2024;4;1;0;1
3;2;10.5;01/04/2024;4;1;0;0
4;3;10.6;01/04/2024;4;1;2;1
5;3;10.6;01/04/2024;5;1;0;0
6;1;10.5;01/04/2024;5;1;2;0
7;3;10.5;01/04/2024;4;1;0;0
8;2;10.7;01/04/2024;4;0;2;2
9;3;10.7;01/04/2024;4;2;0;0
1;1;10.7;04/04/2024;5;1;3;0
2;1;10.6;04/04/2024;4;1;1;1
3;2;10.5;04/04/2024;5;1;1;1
4;3;10.6;04/04/2024;3;0;0;3
5;3;10.6;04/04/2024;5;0;3;1
6;1;10.5;04/04/2024;6;0;3;2
7;3;10.5;04/04/2024;5;0;3;1
8;2;10.7;04/04/2024;2;0;0;2
9;3;10.7;04/04/2024;6;0;2;2
1;1;10.7;09/04/2024;6;0;1;4
2;1;10.6;09/04/2024;5;0;0;4
3;2;10.5;09/04/2024;6;0;2;3
4;3;10.6;09/04/2024;3;1;1;1
5;3;10.6;09/04/2024;6;1;1;4
6;1;10.5;09/04/2024;6;1;1;4
7;3;10.5;09/04/2024;6;0;2;3
8;2;10.7;09/04/2024;2;0;0;2
9;3;10.7;09/04/2024;6;1;2;3
1;1;10.7;12/04/2024;5;0;1;3
2;1;10.6;12/04/2024;4;0;0;4
3;2;10.5;12/04/2024;6;1;3;1
4;3;10.6;12/04/2024;4;1;1;1
5;3;10.6;12/04/2024;5;2;1;1
6;1;10.5;12/04/2024;5;2;1;2
7;3;10.5;12/04/2024;4;1;1;2
8;2;10.7;12/04/2024;3;0;0;3
9;3;10.7;12/04/2024;6;0;2;3
1;1;10.7;15/04/2024;5;1;1;2
2;1;10.6;15/04/2024;5;0;0;5
3;2;10.5;15/04/2024;5;2;2;1
4;3;10.6;15/04/2024;3;2;1;0
5;3;10.6;15/04/2024;4;2;1;0
6;1;10.5;15/04/2024;5;1;2;1
7;3;10.5;15/04/2024;5;1;2;1
8;2;10.7;15/04/2024;3;0;0;3
9;3;10.7;15/04/2024;4;1;2;0
