plot,rep,trt,date,total,wilt,yellow,dry
1,1,UNCUT,3/29/24,4,1,0,0
2,1,CUT,3/29/24,4,1,0,0
3,4,UNCUT,3/29/24,4,0,0,0
4,3,CUT,3/29/24,4,0,0,0
5,5,UNCUT,3/29/24,4,0,0,0
6,2,UNCUT,3/29/24,4,0,0,0
7,3,UNCUT,3/29/24,4,1,0,0
8,4,CUT,3/29/24,4,1,0,0
9,2,CUT,3/29/24,4,0,0,0
10,5,CUT,3/29/24,4,1,0,0
1,1,UNCUT,4/1/24,4,1,2,0
2,1,CUT,4/1/24,4,1,2,0
3,4,UNCUT,4/1/24,4,1,2,0
4,3,CUT,4/1/24,4,1,1,0
5,5,UNCUT,4/1/24,4,1,2,0
6,2,UNCUT,4/1/24,5,1,1,0
7,3,UNCUT,4/1/24,5,3,1,0
8,4,CUT,4/1/24,4,2,1,1
9,2,CUT,4/1/24,5,0,3,0
10,5,CUT,4/1/24,4,0,1,1
1,1,UNCUT,4/4/24,4,0,0,4
2,1,CUT,4/4/24,4,0,0,4
3,4,UNCUT,4/4/24,5,1,2,2
4,3,CUT,4/4/24,5,0,2,2
5,5,UNCUT,4/4/24,4,0,2,2
6,2,UNCUT,4/4/24,6,0,2,2
7,3,UNCUT,4/4/24,6,1,1,3
8,4,CUT,4/4/24,4,0,1,2
9,2,CUT,4/4/24,5,0,2,2
10,5,CUT,4/4/24,5,0,1,1
1,1,UNCUT,4/9/24,5,1,1,3
2,1,CUT,4/9/24,5,0,0,5
3,4,UNCUT,4/9/24,6,0,2,3
4,3,CUT,4/9/24,6,0,1,4
5,5,UNCUT,4/9/24,5,1,0,4
6,2,UNCUT,4/9/24,6,1,1,4
7,3,UNCUT,4/9/24,8,0,2,4
8,4,CUT,4/9/24,5,0,1,3
9,2,CUT,4/9/24,6,0,2,4
10,5,CUT,4/9/24,4,1,2,0
1,1,UNCUT,4/12/24,5,0,1,3
2,1,CUT,4/12/24,5,0,0,5
3,4,UNCUT,4/12/24,4,1,1,2
4,3,CUT,4/12/24,6,1,1,4
5,5,UNCUT,4/12/24,6,2,0,4
6,2,UNCUT,4/12/24,7,3,1,3
7,3,UNCUT,4/12/24,8,1,2,4
8,4,CUT,4/12/24,5,0,1,3
9,2,CUT,4/12/24,4,0,2,1
10,5,CUT,4/12/24,5,0,3,1
1,1,UNCUT,4/15/24,4,1,1,1
2,1,CUT,4/15/24,4,0,0,4
3,4,UNCUT,4/15/24,5,2,1,2
4,3,CUT,4/15/24,7,0,1,4
5,5,UNCUT,4/15/24,4,2,0,1
6,2,UNCUT,4/15/24,7,2,2,3
7,3,UNCUT,4/15/24,8,0,3,3
8,4,CUT,4/15/24,5,0,1,2
9,2,CUT,4/15/24,4,3,1,0
10,5,CUT,4/15/24,5,2,3,2
