"plot","trt","date","disease_percentage"
1,"UNCUT","3/29/24",0
2,"CUT","3/29/24",0
3,"UNCUT","3/29/24",0
4,"CUT","3/29/24",0
5,"UNCUT","3/29/24",0
6,"UNCUT","3/29/24",0
7,"UNCUT","3/29/24",0
8,"CUT","3/29/24",0
9,"CUT","3/29/24",0
10,"CUT","3/29/24",0
1,"UNCUT","4/1/24",50
2,"CUT","4/1/24",50
3,"UNCUT","4/1/24",50
4,"CUT","4/1/24",25
5,"UNCUT","4/1/24",50
6,"UNCUT","4/1/24",20
7,"UNCUT","4/1/24",20
8,"CUT","4/1/24",50
9,"CUT","4/1/24",60
10,"CUT","4/1/24",50
1,"UNCUT","4/4/24",100
2,"CUT","4/4/24",100
3,"UNCUT","4/4/24",80
4,"CUT","4/4/24",80
5,"UNCUT","4/4/24",100
6,"UNCUT","4/4/24",66.6666666666667
7,"UNCUT","4/4/24",66.6666666666667
8,"CUT","4/4/24",75
9,"CUT","4/4/24",80
10,"CUT","4/4/24",40
1,"UNCUT","4/9/24",80
2,"CUT","4/9/24",100
3,"UNCUT","4/9/24",83.3333333333333
4,"CUT","4/9/24",83.3333333333333
5,"UNCUT","4/9/24",80
6,"UNCUT","4/9/24",83.3333333333333
7,"UNCUT","4/9/24",75
8,"CUT","4/9/24",80
9,"CUT","4/9/24",100
10,"CUT","4/9/24",50
1,"UNCUT","4/12/24",80
2,"CUT","4/12/24",100
3,"UNCUT","4/12/24",75
4,"CUT","4/12/24",83.3333333333333
5,"UNCUT","4/12/24",66.6666666666667
6,"UNCUT","4/12/24",57.1428571428571
7,"UNCUT","4/12/24",75
8,"CUT","4/12/24",80
9,"CUT","4/12/24",75
10,"CUT","4/12/24",80
1,"UNCUT","4/15/24",50
2,"CUT","4/15/24",100
3,"UNCUT","4/15/24",60
4,"CUT","4/15/24",71.4285714285714
5,"UNCUT","4/15/24",25
6,"UNCUT","4/15/24",71.4285714285714
7,"UNCUT","4/15/24",75
8,"CUT","4/15/24",60
9,"CUT","4/15/24",25
10,"CUT","4/15/24",100
