"plot","trt","03/29/2024","04/01/2024","04/04/2024","04/09/2024","04/12/2024","04/15/2024"
1,"UNCUT",0,50,100,80,80,50
2,"CUT",0,50,100,100,100,100
3,"UNCUT",0,50,80,83.3333333333333,75,60
4,"CUT",0,25,80,83.3333333333333,83.3333333333333,71.4285714285714
5,"UNCUT",0,50,100,80,66.6666666666667,25
6,"UNCUT",0,20,66.6666666666667,83.3333333333333,57.1428571428571,71.4285714285714
7,"UNCUT",0,20,66.6666666666667,75,75,75
8,"CUT",0,50,75,80,80,60
9,"CUT",0,60,80,100,75,25
10,"CUT",0,50,40,50,80,100
