"plot","trt","03/29/2024","04/01/2024","04/04/2024","04/09/2024","04/12/2024","04/15/2024"
1,"DIP",0,0,60,60,75,20
2,"DIP",0,40,80,80,66.6666666666667,71.4285714285714
3,"DRE",0,0,0,77.7777777777778,80,70
4,"DIP",0,20,80,71.4285714285714,57.1428571428571,40
5,"DRE",0,0,33.3333333333333,75,75,57.1428571428571
6,"DRE",0,20,66.6666666666667,71.4285714285714,66.6666666666667,40
7,"DRE",0,0,0,83.3333333333333,71.4285714285714,66.6666666666667
8,"DIP",0,25,66.6666666666667,80,57.1428571428571,71.4285714285714
9,"DRE",0,0,0,87.5,80,71.4285714285714
10,"DIP",0,20,83.3333333333333,100,75,75
