"plot","trt","date","disease_percentage"
1,"10min","29/03/2024",0
2,"15min","29/03/2024",0
3,"8min","29/03/2024",0
4,"10min","29/03/2024",0
5,"5min","29/03/2024",0
6,"15min","29/03/2024",0
7,"8min","29/03/2024",0
8,"15min","29/03/2024",0
9,"8min","29/03/2024",0
10,"10min","29/03/2024",0
11,"5min","29/03/2024",0
12,"5min","29/03/2024",0
1,"10min","01/04/2024",20
2,"15min","01/04/2024",20
3,"8min","01/04/2024",0
4,"10min","01/04/2024",50
5,"5min","01/04/2024",40
6,"15min","01/04/2024",40
7,"8min","01/04/2024",25
8,"15min","01/04/2024",50
9,"8min","01/04/2024",50
10,"10min","01/04/2024",25
11,"5min","01/04/2024",20
12,"5min","01/04/2024",25
1,"10min","03/04/2024",60
2,"15min","03/04/2024",66.6666666666667
3,"8min","03/04/2024",83.3333333333333
4,"10min","03/04/2024",66.6666666666667
5,"5min","03/04/2024",80
6,"15min","03/04/2024",100
7,"8min","03/04/2024",80
8,"15min","03/04/2024",100
9,"8min","03/04/2024",80
10,"10min","03/04/2024",100
11,"5min","03/04/2024",100
12,"5min","03/04/2024",50
1,"10min","09/04/2024",100
2,"15min","09/04/2024",71.4285714285714
3,"8min","09/04/2024",75
4,"10min","09/04/2024",80
5,"5min","09/04/2024",66.6666666666667
6,"15min","09/04/2024",100
7,"8min","09/04/2024",100
8,"15min","09/04/2024",100
9,"8min","09/04/2024",80
10,"10min","09/04/2024",80
11,"5min","09/04/2024",66.6666666666667
12,"5min","09/04/2024",100
1,"10min","12/04/2024",60
2,"15min","12/04/2024",62.5
3,"8min","12/04/2024",60
4,"10min","12/04/2024",60
5,"5min","12/04/2024",80
6,"15min","12/04/2024",100
7,"8min","12/04/2024",100
8,"15min","12/04/2024",60
9,"8min","12/04/2024",100
10,"10min","12/04/2024",83.3333333333333
11,"5min","12/04/2024",60
12,"5min","12/04/2024",100
1,"10min","15/04/2024",50
2,"15min","15/04/2024",77.7777777777778
3,"8min","15/04/2024",40
4,"10min","15/04/2024",75
5,"5min","15/04/2024",33.3333333333333
6,"15min","15/04/2024",100
7,"8min","15/04/2024",100
8,"15min","15/04/2024",83.3333333333333
9,"8min","15/04/2024",25
10,"10min","15/04/2024",75
11,"5min","15/04/2024",50
12,"5min","15/04/2024",100
