"plot","trt","03/29/2024","04/01/2024","04/04/2024","04/09/2024","04/12/2024","04/15/2024"
1,"10min",0,20,60,100,60,50
2,"15min",0,20,66.6666666666667,71.4285714285714,62.5,77.7777777777778
3,"8min",0,0,83.3333333333333,75,60,40
4,"10min",0,50,66.6666666666667,80,60,75
5,"5min",0,40,80,66.6666666666667,80,33.3333333333333
6,"15min",0,40,100,100,100,100
7,"8min",0,25,80,100,100,100
8,"15min",0,50,100,100,60,83.3333333333333
9,"8min",0,50,80,80,100,25
10,"10min",0,25,100,80,83.3333333333333,75
11,"5min",0,20,100,66.6666666666667,60,50
12,"5min",0,25,50,100,100,100
