"plot","trt","date","disease_percentage"
1,10.7,"29/03/2024",0
2,10.6,"29/03/2024",0
3,10.5,"29/03/2024",0
4,10.6,"29/03/2024",0
5,10.6,"29/03/2024",0
6,10.5,"29/03/2024",0
7,10.5,"29/03/2024",0
8,10.7,"29/03/2024",50
9,10.7,"29/03/2024",0
1,10.7,"01/04/2024",0
2,10.6,"01/04/2024",25
3,10.5,"01/04/2024",0
4,10.6,"01/04/2024",75
5,10.6,"01/04/2024",0
6,10.5,"01/04/2024",40
7,10.5,"01/04/2024",0
8,10.7,"01/04/2024",100
9,10.7,"01/04/2024",0
1,10.7,"04/04/2024",60
2,10.6,"04/04/2024",50
3,10.5,"04/04/2024",40
4,10.6,"04/04/2024",100
5,10.6,"04/04/2024",80
6,10.5,"04/04/2024",83
7,10.5,"04/04/2024",80
8,10.7,"04/04/2024",100
9,10.7,"04/04/2024",66
1,10.7,"09/04/2024",83
2,10.6,"09/04/2024",80
3,10.5,"09/04/2024",83
4,10.6,"09/04/2024",66
5,10.6,"09/04/2024",83
6,10.5,"09/04/2024",83
7,10.5,"09/04/2024",83
8,10.7,"09/04/2024",100
9,10.7,"09/04/2024",83
1,10.7,"12/04/2024",80
2,10.6,"12/04/2024",100
3,10.5,"12/04/2024",66
4,10.6,"12/04/2024",50
5,10.6,"12/04/2024",40
6,10.5,"12/04/2024",60
7,10.5,"12/04/2024",75
8,10.7,"12/04/2024",100
9,10.7,"12/04/2024",83
1,10.7,"15/04/2024",60
2,10.6,"15/04/2024",100
3,10.5,"15/04/2024",60
4,10.6,"15/04/2024",33
5,10.6,"15/04/2024",25
6,10.5,"15/04/2024",60
7,10.5,"15/04/2024",60
8,10.7,"15/04/2024",100
9,10.7,"15/04/2024",50
